Group,Room,Type,Method,Times
Experimental,1,Auto,Rule,4064
Experimental,1,Manual,Zone,2252
Experimental,1,Manual,Voice,32
Experimental,1,Manual,Tabelet,174
Experimental,1,Manual,Scene,2129
Experimental,1,Manual,Mobile,141
Experimental,2,Auto,Rule,1092
Experimental,2,Manual,Zone,3602
Experimental,2,Manual,Voice,184
Experimental,2,Manual,Tabelet,1201
Experimental,2,Manual,Scene,1568
Experimental,2,Manual,Mobile,305
Experimental,7,Auto,Rule,13870
Experimental,7,Manual,Zone,1799
Experimental,7,Manual,Voice,11
Experimental,7,Manual,Tabelet,460
Experimental,7,Manual,Scene,81
Experimental,7,Manual,Mobile,98
Experimental,9,Auto,Rule,4316
Experimental,9,Manual,Zone,1131
Experimental,9,Manual,Voice,8
Experimental,9,Manual,Tabelet,75
Experimental,9,Manual,Scene,5169
Experimental,9,Manual,Mobile,221
Experimental,11,Auto,Rule,4638
Experimental,11,Manual,Zone,906
Experimental,11,Manual,Voice,0
Experimental,11,Manual,Tabelet,167
Experimental,11,Manual,Scene,1878
Experimental,11,Manual,Mobile,114
Experimental,12,Auto,Rule,3372
Experimental,12,Manual,Zone,1066
Experimental,12,Manual,Voice,7
Experimental,12,Manual,Tabelet,146
Experimental,12,Manual,Scene,1365
Experimental,12,Manual,Mobile,158
Control,3,Auto,Rule,1553
Control,3,Manual,Zone,1322
Control,3,Manual,Voice,181
Control,3,Manual,Tabelet,1941
Control,3,Manual,Scene,3657
Control,3,Manual,Mobile,314
Control,4,Auto,Rule,4070
Control,4,Manual,Zone,6209
Control,4,Manual,Voice,16
Control,4,Manual,Tabelet,148
Control,4,Manual,Scene,5181
Control,4,Manual,Mobile,154
Control,5,Auto,Rule,1075
Control,5,Manual,Zone,624
Control,5,Manual,Voice,11
Control,5,Manual,Tabelet,276
Control,5,Manual,Scene,2619
Control,5,Manual,Mobile,287
Control,6,Auto,Rule,12011
Control,6,Manual,Zone,643
Control,6,Manual,Voice,14
Control,6,Manual,Tabelet,378
Control,6,Manual,Scene,2103
Control,6,Manual,Mobile,107
Control,8,Auto,Rule,13282
Control,8,Manual,Zone,1018
Control,8,Manual,Voice,24
Control,8,Manual,Tabelet,123
Control,8,Manual,Scene,3210
Control,8,Manual,Mobile,163
Control,10,Auto,Rule,1617
Control,10,Manual,Zone,982
Control,10,Manual,Voice,0
Control,10,Manual,Tabelet,65
Control,10,Manual,Scene,4067
Control,10,Manual,Mobile,110
